1,Afghanistan,59.9,"$1,947"
2,Albania,50.7,"$11,301"
3,Algeria,49.5,"$14,504"
4,Angola,40.4,"$7,344"
5,Argentina,46.1,"$22,554"
6,Armenia,72.4,"$8,468"
7,Australia,84.1,"$47,389"
8,Austria,67.6,"$47,250"
9,Azerbaijan,75.0,"$17,993"
10,Bahamas,71.5,"$25,167"
11,Bahrain,78.7,"$50,095"
12,Bangladesh,68.7,"$3,607"
13,Barbados,67.7,"$16,575"
14,Belarus,74.6,"$17,654"
15,Belgium,61.1,"$43,585"
16,Belize,53.6,"$8,373"
17,Benin,52.4,"$2,113"
18,Bhutan,77.6,"$8,201"
19,Bolivia,35.8,"$6,465"
20,Bosnia and Herzegovina,59.3,"$10,492"
21,Botswana,68.6,"$16,368"
22,Brazil,52.3,"$15,615"
23,Bulgaria,68.3,"$19,097"
24,Burkina Faso,53.3,"$1,724"
25,Burma,77.1,"$5,469"
26,Burundi,67.4,$819
27,Cambodia,62.0,"$3,488"
28,Cameroon,47.8,"$3,144"
29,Canada,73.1,"$45,553"
30,Cabo Verde,43.2,"$6,522"
31,Central African Republic,42.7,$630
32,Chad,44.9,"$2,634"
33,Chile,64.3,"$23,460"
34,China,63.4,"$14,107"
35,Colombia,77.9,"$13,847"
36,Comoros,50.6,"$1,519"
37,"Congo, Democratic Republic of the Congo",38.4,$770
38,"Congo, Republic of",37.5,"$6,722"
39,Costa Rica,53.9,"$15,482"
40,Côte d'Ivoire,50.6,"$3,316"
41,Croatia,43.3,"$21,581"
42,Cuba,20.0,"$12,580 "
43,Cyprus,58.6,"$32,786"
44,Czech Republic,77.7,"$31,550"
45,Denmark,85.8,"$45,709"
46,Djibouti,59.0,"$3,204"
47,Dominica,59.0,"$10,788"
48,Dominican Republic,56.2,"$14,984"
49,Ecuador,47.3,"$11,264"
50,Egypt,51.3,"$11,850"
51,El Salvador,54.5,"$8,303"
52,Equatorial Guinea,38.5,"$31,758"
53,Eritrea,69.7,"$1,297"
